Players,,KTPR,Matches,Att.,Flags,Kills,Deaths,K/D Ratio,Kills/Match,Kills/Half,Deaths/Match,Deaths/Half,Flags/Match,Flags/Half,Player Team,Class
Gaul,1,1.38,7,88%,73,452,384,1.18,64.6,32.3,54.9,27.4,10.4,5.2,GSKILL,RIFLE
NoName,1,1.35,8,100%,103,487,370,1.32,60.9,30.4,46.3,23.1,12.9,6.4,OVER,RIFLE
Sz,1,1.30,8,100%,102,478,411,1.16,59.8,29.9,51.4,25.7,12.8,6.4,OVER,HEAVY
taylor,1,1.27,8,100%,142,465,387,1.20,58.1,29.1,48.4,24.2,17.8,8.9,GSKILL,HEAVY
Nightmare,1,1.22,7,88%,99,366,215,1.70,52.3,26.1,30.7,15.4,14.1,7.1,OVER,SNIPER
devin,1,1.22,8,100%,155,445,391,1.14,55.6,27.8,48.9,24.4,19.4,9.7,OVER,3RD RIFLE
kAFRE,1,1.20,8,100%,127,434,377,1.15,54.3,27.1,47.1,23.6,15.9,7.9,OVER,HEAVY
gorilla,1,1.16,8,100%,101,454,434,1.05,56.8,28.4,54.3,27.1,12.6,6.3,DICE,UTILITY
motiv,1,1.13,8,100%,77,405,341,1.19,50.6,25.3,42.6,21.3,9.6,4.8,GSKILL,SNIPER
toxinatoR,1,1.13,8,100%,106,407,364,1.12,50.9,25.4,45.5,22.8,13.3,6.6,ICYHOT,3RD RIFLE
sik,1,1.12,8,100%,69,415,384,1.08,51.9,25.9,48.0,24.0,8.6,4.3,ICYHOT,RIFLE
kanguhhh,1,1.11,8,100%,75,402,366,1.10,50.3,25.1,45.8,22.9,9.4,4.7,ICYHOT,HEAVY
nicholson,1,1.11,8,100%,56,393,316,1.24,49.1,24.6,39.5,19.8,7.0,3.5,ASS RACCOONS,SNIPER
element,1,1.11,8,100%,113,452,446,1.01,56.5,28.3,55.8,27.9,14.1,7.1,DICE,RIFLE
JaGGoN,1,1.11,8,100%,96,393,330,1.19,49.1,24.6,41.3,20.6,12.0,6.0,GSKILL,RIFLE
chi,1,1.09,6,75%,43,312,295,1.06,52.0,26.0,49.2,24.6,7.2,3.6,OVER,RIFLE
hildebrand,1,1.06,7,88%,92,328,285,1.15,46.9,23.4,40.7,20.4,13.1,6.6,ICYHOT,SNIPER
Leoo,1,1.03,8,100%,57,419,417,1.00,52.4,26.2,52.1,26.1,7.1,3.6,ASS RACCOONS,RIFLE
